JOB_NAME,PROCESS_RUN_SK,BATCH_SK,BATCH_STATUS,CREATE_TS,STATUS_UPDATE_TS,ROWS_ADDED_COUNT,ROWS_UPDATED_COUNT,ROWS_DELETED_COUNT,ROWS_DUPLICATED_COUNT,ROWS_SKIPPED_COUNT,ROWS_ERROR_COUNT,TARGET_ENTITY
PRES2K_PROD_CONFIG--GENERIC,3416062278,1075302813,COMPLETED,2024-02-15T21:05:39Z,2024-02-15T21:05:44Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416061876,1075302612,COMPLETED,2024-02-15T21:02:18Z,2024-02-15T21:07:26Z,2617,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416061810,1075302580,COMPLETED,2024-02-15T21:01:46Z,2024-02-15T21:07:50Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416060456,1075301903,COMPLETED,2024-02-15T20:50:29Z,2024-02-15T20:50:33Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416060062,1075301705,COMPLETED,2024-02-15T20:47:11Z,2024-02-15T20:52:03Z,3258,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416059830,1075301589,COMPLETED,2024-02-15T20:45:15Z,2024-02-15T20:48:47Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416058664,1075301006,COMPLETED,2024-02-15T20:35:32Z,2024-02-15T20:35:48Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416058324,1075300836,COMPLETED,2024-02-15T20:32:42Z,2024-02-15T20:35:46Z,1887,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416058102,1075300725,COMPLETED,2024-02-15T20:30:51Z,2024-02-15T20:34:49Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416056880,1075300114,COMPLETED,2024-02-15T20:20:40Z,2024-02-15T20:20:45Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416056536,1075299943,COMPLETED,2024-02-15T20:17:49Z,2024-02-15T20:20:42Z,1585,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416056216,1075299782,COMPLETED,2024-02-15T20:15:09Z,2024-02-15T20:18:08Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416055126,1075299237,COMPLETED,2024-02-15T20:06:03Z,2024-02-15T20:06:21Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416054670,1075299009,COMPLETED,2024-02-15T20:02:16Z,2024-02-15T20:09:16Z,1980,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416054532,1075298940,COMPLETED,2024-02-15T20:01:06Z,2024-02-15T20:06:27Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416053276,1075298312,COMPLETED,2024-02-15T19:50:38Z,2024-02-15T19:50:49Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416052796,1075298072,COMPLETED,2024-02-15T19:46:38Z,2024-02-15T19:51:18Z,1880,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416052758,1075298053,COMPLETED,2024-02-15T19:46:19Z,2024-02-15T19:49:05Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416051524,1075297436,COMPLETED,2024-02-15T19:36:02Z,2024-02-15T19:36:19Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416051072,1075297210,COMPLETED,2024-02-15T19:32:16Z,2024-02-15T19:37:35Z,1960,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416050950,1075297150,COMPLETED,2024-02-15T19:31:16Z,2024-02-15T19:35:39Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416049772,1075296561,COMPLETED,2024-02-15T19:21:27Z,2024-02-15T19:21:35Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416049140,1075296244,COMPLETED,2024-02-15T19:16:10Z,2024-02-15T19:21:14Z,1629,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416049018,1075296184,COMPLETED,2024-02-15T19:15:10Z,2024-02-15T19:18:55Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416047880,1075295615,COMPLETED,2024-02-15T19:05:41Z,2024-02-15T19:05:46Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416047432,1075295390,COMPLETED,2024-02-15T19:01:56Z,2024-02-15T19:08:17Z,1765,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416047368,1075295358,COMPLETED,2024-02-15T19:01:24Z,2024-02-15T19:08:23Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416046128,1075294739,COMPLETED,2024-02-15T18:51:05Z,2024-02-15T18:51:09Z,-1,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416045582,1075294466,COMPLETED,2024-02-15T18:46:32Z,2024-02-15T18:49:38Z,55175,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416045558,1075294454,COMPLETED,2024-02-15T18:46:20Z,2024-02-15T18:49:55Z,1138,-1,-1,-1,-1,-1,
