date,state,count
"2024-02-26 00:00",diff,225
"2024-02-26 00:00",same,1058
"2024-02-26 01:00",diff,240
"2024-02-26 01:00",same,1011
"2024-02-26 02:00",diff,232
"2024-02-26 02:00",same,1098
"2024-02-26 03:00",diff,191
"2024-02-26 03:00",same,1033
"2024-02-26 04:00",diff,204
"2024-02-26 04:00",same,1121
"2024-02-26 05:00",diff,194
"2024-02-26 05:00",same,1225
"2024-02-26 06:00",diff,210
"2024-02-26 06:00",same,1401
"2024-02-26 07:00",diff,223
"2024-02-26 07:00",same,1257
"2024-02-26 08:00",diff,209
"2024-02-26 08:00",same,1215
"2024-02-26 09:00",diff,285
"2024-02-26 09:00",same,1132
"2024-02-26 10:00",diff,253
"2024-02-26 10:00",same,1097
"2024-02-26 11:00",diff,214
"2024-02-26 11:00",same,1105
"2024-02-26 12:00",diff,210
"2024-02-26 12:00",same,1191
"2024-02-26 13:00",diff,263
"2024-02-26 13:00",same,1038
"2024-02-26 14:00",diff,276
"2024-02-26 14:00",same,1020
"2024-02-26 15:00",diff,221
"2024-02-26 15:00",same,1094
"2024-02-26 16:00",diff,135
"2024-02-26 16:00",same,1238
"2024-02-26 17:00",diff,233
"2024-02-26 17:00",same,1058
"2024-02-26 18:00",diff,212
"2024-02-26 18:00",same,1072
"2024-02-26 19:00",diff,159
"2024-02-26 19:00",same,876
"2024-02-26 20:00",diff,179
"2024-02-26 20:00",same,1082
"2024-02-26 21:00",diff,176
"2024-02-26 21:00",same,1058
"2024-02-26 22:00",diff,176
"2024-02-26 22:00",same,1048
"2024-02-26 23:00",diff,193
"2024-02-26 23:00",same,1082
